what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326064675770
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326064686763
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326064690055
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326064690170
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326064690672
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326064702976
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326064708426
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326064713548
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326064715858
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326066817484
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326066819750
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1326066820701
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326066822753
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326066824307
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1326066824316
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326066827701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326066832354
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1326066850185
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326066895544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326117458794
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326117464293
